2020-09-19 11:03:40.337  INFO 8112 --- [main] e.p.s.d.SpringbootDockerBasisApplication : Starting SpringbootDockerBasisApplication on developer1997 with PID 8112 (C:\develop\workspace\springboot-docker-basis\build\classes\java\main started by pasudo123 in C:\develop\workspace\springboot-docker-basis)
2020-09-19 11:03:40.340  INFO 8112 --- [main] e.p.s.d.SpringbootDockerBasisApplication : No active profile set, falling back to default profiles: default
2020-09-19 11:04:11.859  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 1 x 8 = 8
2020-09-19 11:04:11.859  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 1 x 9 = 9
2020-09-19 11:04:11.859  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 2 x 1 = 2
2020-09-19 11:04:11.859  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 2 x 2 = 4
2020-09-19 11:04:11.859  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 2 x 3 = 6
2020-09-19 11:04:11.859  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 2 x 4 = 8
2020-09-19 11:04:11.859  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 2 x 5 = 10
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 2 x 6 = 12
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 2 x 7 = 14
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 2 x 8 = 16
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 2 x 9 = 18
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 3 x 1 = 3
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 3 x 2 = 6
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 3 x 3 = 9
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 3 x 4 = 12
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 3 x 5 = 15
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 3 x 6 = 18
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 3 x 7 = 21
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 3 x 8 = 24
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 3 x 9 = 27
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 4 x 1 = 4
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 4 x 2 = 8
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 4 x 3 = 12
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 4 x 4 = 16
2020-09-19 11:04:11.860  INFO 8112 --- [http-nio-8080-exec-3] e.p.study.docker.index.IndexService      : 4 x 5 = 20
